Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.260009625,-6.51215817e-11,0.00181904214,-0.00181904214
0.261009658,-7.158827e-11,0.002136369,-0.002136369
0.262009719,-7.158827e-11,0.00246619456,-0.00246619456
0.263009753,-7.158827e-11,0.00280755153,-0.00280755153
0.264009786,-7.158827e-11,0.00315933232,-0.00315933232
0.26500982,-7.158827e-11,0.00352028618,-0.00352028618
0.266009853,-6.51215817e-11,0.00388901704,-0.00388901704
0.267009886,-5.21882017e-11,0.00426398125,-0.00426398125
0.26800992,-2.63214416e-11,0.00464348681,-0.00464348681
0.269009953,-4.54681431e-13,0.00502568902,-0.00502568902
0.270010014,2.54120787e-11,0.00540859578,-0.00540859578
0.271010048,5.12788388e-11,0.0057900683,-0.0057900683
0.272010081,7.71455955e-11,0.00616782485,-0.00616782485
0.273010115,1.03012356e-10,0.00653943839,-0.00653943839
0.274010148,1.28879116e-10,0.00690234778,-0.00690234778
0.275010181,1.54745883e-10,0.00725386152,-0.00725386152
0.276010215,1.67679259e-10,0.00759116327,-0.00759116327
0.277010248,1.80612636e-10,0.00791132171,-0.00791132171
0.278010309,1.93546013e-10,0.00821130164,-0.00821130164
0.279010343,2.06479389e-10,0.0084879715,-0.0084879715
0.280010376,2.19412766e-10,0.00873811543,-0.00873811543
0.281010409,2.58212896e-10,0.00895845238,-0.00895845238
0.282010443,3.22879778e-10,0.00914564356,-0.00914564356
0.283010476,4.13413442e-10,0.00929631293,-0.00929631293
0.28401051,5.29813859e-10,0.00940706488,-0.00940706488
0.285010571,6.20347551e-10,0.00947450101,-0.00947450101
0.286010604,6.85014434e-10,0.00949523877,-0.00949523784
0.287010637,6.85014434e-10,0.00946593657,-0.00946593564
0.288010671,6.46214304e-10,0.0093833115,-0.00938331056
0.289010704,5.42747292e-10,0.00924416538,-0.00924416445
0.290010738,4.13413498e-10,0.00904541183,-0.00904541183
0.291010771,2.84079704e-10,0.00878409669,-0.00878409669
0.292010804,1.54745911e-10,0.00845742505,-0.00845742505
0.293010866,2.54121169e-11,0.00806278829,-0.00806278829
0.294010899,-7.80549236e-11,0.00759778731,-0.00759778731
0.295010932,-1.4272182e-10,0.00706027448,-0.00706027448
0.296010966,-1.81521964e-10,0.00644836854,-0.00644836854
0.297010999,-1.68588588e-10,0.00576047506,-0.0057604746
0.298011033,-1.03921691e-10,0.00499534048,-0.00499534002
0.299011066,1.24787333e-11,0.00415205816,-0.00415205769
0.300011127,1.74145975e-10,0.00323010213,-0.00323010166
0.30101116,3.55213303e-10,0.00222935528,-0.00222935481
0.302011194,5.29813915e-10,0.00115013425,-0.0011501339
0.303011227,6.73697764e-10,-6.78760443e-06,6.78789547e-06
0.304011261,7.69080244e-10,-0.00124015531,0.00124015554
0.305011294,8.01413713e-10,-0.00254819659,0.00254819682
0.306011327,7.82026333e-10,-0.00392862083,0.00392862083
0.307011361,7.10918102e-10,-0.00537859043,0.00537858997
0.308011422,5.81609649e-10,-0.00689470395,0.00689470349
0.309011455,4.39393189e-10,-0.00847298466,0.00847298466
0.310011489,2.71309974e-10,-0.0101088686,0.0101088686
0.311011522,9.02426467e-11,-0.0117971869,0.0117971869
